Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
Q15648	MED1_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	Homo sapiens (Human)	1581	TF_cofactors
P07199	CENPB_HUMAN	reviewed	Major centromere autoantigen B (Centromere protein B) (CENP-B)	CENPB	Homo sapiens (Human)	599	TF_cofactors
Q99966	CITE1_HUMAN	reviewed	Cbp/p300-interacting transactivator 1 (Melanocyte-specific protein 1)	CITED1 MSG1	Homo sapiens (Human)	193	TF_cofactors
Q16384	SSX1_HUMAN	reviewed	Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)	SSX1	Homo sapiens (Human)	188	TF_cofactors
O75182	SIN3B_HUMAN	reviewed	Paired amphipathic helix protein Sin3b (Histone deacetylase complex subunit Sin3b) (Transcriptional corepressor Sin3b)	SIN3B KIAA0700	Homo sapiens (Human)	1162	TF_cofactors
Q9Y252	RNF6_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF6)	RNF6 SPG2	Homo sapiens (Human)	685	TF_cofactors
O60563	CCNT1_HUMAN	reviewed	Cyclin-T1 (CycT1) (Cyclin-T)	CCNT1	Homo sapiens (Human)	726	TF_cofactors
Q9Y572	RIPK3_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 3 (EC 2.7.11.1) (RIP-like protein kinase 3) (Receptor-interacting protein 3) (RIP-3)	RIPK3 RIP3	Homo sapiens (Human)	518	TF_cofactors
Q96IF1	AJUBA_HUMAN	reviewed	LIM domain-containing protein ajuba	AJUBA JUB	Homo sapiens (Human)	538	TF_cofactors
Q15843	NEDD8_HUMAN	reviewed	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)	NEDD8	Homo sapiens (Human)	81	TF_cofactors
O75081	MTG16_HUMAN	reviewed	Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4)	CBFA2T3 MTG16 MTGR2 ZMYND4	Homo sapiens (Human)	653	TF_cofactors
Q14151	SAFB2_HUMAN	reviewed	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953	TF_cofactors
Q9BYK8	HELZ2_HUMAN	reviewed	Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)	HELZ2 KIAA1769 PRIC285	Homo sapiens (Human)	2649	TF_cofactors
O00268	TAF4_HUMAN	reviewed	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085	TF_cofactors
Q13263	TIF1B_HUMAN	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835	TF_cofactors
Q02779	M3K10_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST)	MAP3K10 MLK2 MST	Homo sapiens (Human)	954	TF_cofactors
Q5JVS0	HABP4_HUMAN	reviewed	Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen)	HABP4	Homo sapiens (Human)	413	TF_cofactors
Q14498	RBM39_HUMAN	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	RBM39 HCC1 RNPC2	Homo sapiens (Human)	530	TF_cofactors
Q9NVW2	RNF12_HUMAN	reviewed	E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43)	RLIM RNF12	Homo sapiens (Human)	624	TF_cofactors
Q9P2W1	HOP2_HUMAN	reviewed	Homologous-pairing protein 2 homolog (Nuclear receptor coactivator GT198) (PSMC3-interacting protein) (Proteasome 26S ATPase subunit 3-interacting protein) (Tat-binding protein 1-interacting protein) (TBP-1-interacting protein)	PSMC3IP HOP2 TBPIP	Homo sapiens (Human)	217	TF_cofactors
Q9BRG1	VPS25_HUMAN	reviewed	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	VPS25 DERP9 EAP20	Homo sapiens (Human)	176	TF_cofactors
Q8IYM9	TRI22_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM22 (EC 2.3.2.27) (50 kDa-stimulated trans-acting factor) (RING finger protein 94) (RING-type E3 ubiquitin transferase TRIM22) (Staf-50) (Tripartite motif-containing protein 22)	TRIM22 RNF94 STAF50	Homo sapiens (Human)	498	TF_cofactors
P62826	RAN_HUMAN	reviewed	GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216	TF_cofactors
Q9BQG0	MBB1A_HUMAN	reviewed	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	1328	TF_cofactors
Q13227	GPS2_HUMAN	reviewed	G protein pathway suppressor 2 (GPS-2)	GPS2	Homo sapiens (Human)	327	TF_cofactors
Q9H0N5	PHS2_HUMAN	reviewed	Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor)	PCBD2 DCOH2 DCOHM	Homo sapiens (Human)	130	TF_cofactors
Q9H1D9	RPC6_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (DNA-directed RNA polymerase III subunit F) (RNA polymerase III 39 kDa subunit) (RPC39)	POLR3F	Homo sapiens (Human)	316	TF_cofactors
P49336	CDK8_HUMAN	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)	464	TF_cofactors
O00287	RFXAP_HUMAN	reviewed	Regulatory factor X-associated protein (RFX-associated protein) (RFX DNA-binding complex 36 kDa subunit)	RFXAP	Homo sapiens (Human)	272	TF_cofactors
Q9BTT4	MED10_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Transformation-related gene 17 protein) (TRG-17) (Transformation-related gene 20 protein) (TRG-20)	MED10 L6 TRG17 TRG20	Homo sapiens (Human)	135	TF_cofactors
P62324	BTG1_HUMAN	reviewed	Protein BTG1 (B-cell translocation gene 1 protein)	BTG1	Homo sapiens (Human)	171	TF_cofactors
Q9P031	TAP26_HUMAN	reviewed	Thyroid transcription factor 1-associated protein 26 (TTF-1-associated protein 26) (Coiled-coil domain-containing protein 59) (TTF-1-associated protein BR2)	CCDC59 BR22 TAP26 HSPC128	Homo sapiens (Human)	241	TF_cofactors
O00255	MEN1_HUMAN	reviewed	Menin	MEN1 SCG2	Homo sapiens (Human)	615	TF_cofactors
O75586	MED6_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 6 (Activator-recruited cofactor 33 kDa component) (ARC33) (Mediator complex subunit 6) (hMed6) (Renal carcinoma antigen NY-REN-28)	MED6 ARC33	Homo sapiens (Human)	246	TF_cofactors
Q9Y4K0	LOXL2_HUMAN	reviewed	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2) (Lysyl oxidase-related protein 2) (Lysyl oxidase-related protein WS9-14)	LOXL2	Homo sapiens (Human)	774	TF_cofactors
P50613	CDK7_HUMAN	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)	346	TF_cofactors
P40337	VHL_HUMAN	reviewed	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213	TF_cofactors
P51946	CCNH_HUMAN	reviewed	Cyclin-H (MO15-associated protein) (p34) (p37)	CCNH	Homo sapiens (Human)	323	TF_cofactors
Q719H9	KCTD1_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD1 (Potassium channel tetramerization domain-containing protein 1)	KCTD1 C18orf5	Homo sapiens (Human)	257	TF_cofactors
Q6IA86	ELP2_HUMAN	reviewed	Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1)	ELP2 STATIP1	Homo sapiens (Human)	826	TF_cofactors
Q86Y01	DTX1_HUMAN	reviewed	E3 ubiquitin-protein ligase DTX1 (EC 2.3.2.27) (Protein deltex-1) (Deltex1) (hDTX1) (RING-type E3 ubiquitin transferase DTX1)	DTX1	Homo sapiens (Human)	620	TF_cofactors
O75529	TAF5L_HUMAN	reviewed	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (PCAF-associated factor 65 beta) (PAF65-beta)	TAF5L PAF65B	Homo sapiens (Human)	589	TF_cofactors
Q52LR7	EPC2_HUMAN	reviewed	Enhancer of polycomb homolog 2 (EPC-like)	EPC2	Homo sapiens (Human)	807	TF_cofactors
Q9NPJ6	MED4_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 4 (Activator-recruited cofactor 36 kDa component) (ARC36) (Mediator complex subunit 4) (TRAP/SMCC/PC2 subunit p36 subunit) (Vitamin D3 receptor-interacting protein complex 36 kDa component) (DRIP36)	MED4 ARC36 DRIP36 VDRIP HSPC126	Homo sapiens (Human)	270	TF_cofactors
Q9BX63	FANCJ_HUMAN	reviewed	Fanconi anemia group J protein (Protein FACJ) (EC 3.6.4.13) (ATP-dependent RNA helicase BRIP1) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1)	BRIP1 BACH1 FANCJ	Homo sapiens (Human)	1249	TF_cofactors
O96019	ACL6A_HUMAN	reviewed	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	Homo sapiens (Human)	429	TF_cofactors
P12757	SKIL_HUMAN	reviewed	Ski-like protein (Ski-related oncogene) (Ski-related protein)	SKIL SNO	Homo sapiens (Human)	684	TF_cofactors
Q9H0E3	SP130_HUMAN	reviewed	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	SAP130	Homo sapiens (Human)	1048	TF_cofactors
P50750	CDK9_HUMAN	reviewed	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	Homo sapiens (Human)	372	TF_cofactors
P49407	ARRB1_HUMAN	reviewed	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)	ARRB1 ARR1	Homo sapiens (Human)	418	TF_cofactors
Q96RS0	TGS1_HUMAN	reviewed	Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT)	TGS1 HCA137 NCOA6IP PIMT	Homo sapiens (Human)	853	TF_cofactors
P46937	YAP1_HUMAN	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504	TF_cofactors
Q14134	TRI29_HUMAN	reviewed	Tripartite motif-containing protein 29 (Ataxia telangiectasia group D-associated protein)	TRIM29 ATDC	Homo sapiens (Human)	588	TF_cofactors
Q13772	NCOA4_HUMAN	reviewed	Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator 70 kDa protein) (70 kDa AR-activator) (70 kDa androgen receptor coactivator) (Androgen receptor-associated protein of 70 kDa) (Ret-activating protein ELE1)	NCOA4 ARA70 ELE1 RFG	Homo sapiens (Human)	614	TF_cofactors
Q13506	NAB1_HUMAN	reviewed	NGFI-A-binding protein 1 (EGR-1-binding protein 1) (Transcriptional regulatory protein p54)	NAB1	Homo sapiens (Human)	487	TF_cofactors
Q86X95	CIR1_HUMAN	reviewed	Corepressor interacting with RBPJ 1 (CBF1-interacting corepressor) (Recepin)	CIR1 CIR	Homo sapiens (Human)	450	TF_cofactors
Q14103	HNRPD_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355	TF_cofactors
P51587	BRCA2_HUMAN	reviewed	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	BRCA2 FACD FANCD1	Homo sapiens (Human)	3418	TF_cofactors
P06400	RB_HUMAN	reviewed	Retinoblastoma-associated protein (p105-Rb) (pRb) (Rb) (pp110)	RB1	Homo sapiens (Human)	928	TF_cofactors
P52657	T2AG_HUMAN	reviewed	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma)	GTF2A2 TF2A2	Homo sapiens (Human)	109	TF_cofactors
Q15596	NCOA2_HUMAN	reviewed	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464	TF_cofactors
P29590	PML_HUMAN	reviewed	Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)	PML MYL PP8675 RNF71 TRIM19	Homo sapiens (Human)	882	TF_cofactors
O43294	TGFI1_HUMAN	reviewed	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	TGFB1I1 ARA55	Homo sapiens (Human)	461	TF_cofactors
Q8IZQ8	MYCD_HUMAN	reviewed	Myocardin	MYOCD MYCD	Homo sapiens (Human)	938	TF_cofactors
P50616	TOB1_HUMAN	reviewed	Protein Tob1 (Transducer of erbB-2 1)	TOB1 TOB TROB1	Homo sapiens (Human)	345	TF_cofactors
Q92750	TAF4B_HUMAN	reviewed	Transcription initiation factor TFIID subunit 4B (Transcription initiation factor TFIID 105 kDa subunit) (TAF(II)105) (TAFII-105) (TAFII105)	TAF4B TAF2C2 TAFII105	Homo sapiens (Human)	862	TF_cofactors
P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255	TF_cofactors
A6NIX2	WTIP_HUMAN	reviewed	Wilms tumor protein 1-interacting protein (WT1-interacting protein)	WTIP	Homo sapiens (Human)	430	TF_cofactors
O75381	PEX14_HUMAN	reviewed	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	Homo sapiens (Human)	377	TF_cofactors
O00488	ZN593_HUMAN	reviewed	Zinc finger protein 593 (Zinc finger protein T86)	ZNF593 ZT86	Homo sapiens (Human)	134	TF_cofactors
Q13352	CENPR_HUMAN	reviewed	Centromere protein R (CENP-R) (Beta-3-endonexin) (Integrin beta-3-binding protein) (Nuclear receptor-interacting factor 3)	ITGB3BP CENPR NRIF3	Homo sapiens (Human)	177	TF_cofactors
O95999	BCL10_HUMAN	reviewed	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)	BCL10 CIPER CLAP	Homo sapiens (Human)	233	TF_cofactors
O75629	CREG1_HUMAN	reviewed	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409	Homo sapiens (Human)	220	TF_cofactors
Q9UK80	UBP21_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	USP21 USP23 PP1490	Homo sapiens (Human)	565	TF_cofactors
P51858	HDGF_HUMAN	reviewed	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF HMG1L2	Homo sapiens (Human)	240	TF_cofactors
Q15573	TAF1A_HUMAN	reviewed	TATA box-binding protein-associated factor RNA polymerase I subunit A (RNA polymerase I-specific TBP-associated factor 48 kDa) (TAFI48) (TATA box-binding protein-associated factor 1A) (TBP-associated factor 1A) (Transcription factor SL1) (Transcription initiation factor SL1/TIF-IB subunit A)	TAF1A	Homo sapiens (Human)	450	TF_cofactors
Q12905	ILF2_HUMAN	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	390	TF_cofactors
Q14135	VGLL4_HUMAN	reviewed	Transcription cofactor vestigial-like protein 4 (Vgl-4)	VGLL4 KIAA0121	Homo sapiens (Human)	290	TF_cofactors
Q9UGP4	LIMD1_HUMAN	reviewed	LIM domain-containing protein 1	LIMD1	Homo sapiens (Human)	676	TF_cofactors
Q9BYH8	IKBZ_HUMAN	reviewed	NF-kappa-B inhibitor zeta (I-kappa-B-zeta) (IkB-zeta) (IkappaBzeta) (IL-1 inducible nuclear ankyrin-repeat protein) (INAP) (Molecule possessing ankyrin repeats induced by lipopolysaccharide) (MAIL)	NFKBIZ IKBZ INAP MAIL	Homo sapiens (Human)	718	TF_cofactors
P20248	CCNA2_HUMAN	reviewed	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	Homo sapiens (Human)	432	TF_cofactors
Q8WTS6	SETD7_HUMAN	reviewed	Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.43) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9)	SETD7 KIAA1717 KMT7 SET7 SET9	Homo sapiens (Human)	366	TF_cofactors
P81877	SSBP2_HUMAN	reviewed	Single-stranded DNA-binding protein 2 (Sequence-specific single-stranded-DNA-binding protein 2)	SSBP2 SSDP2	Homo sapiens (Human)	361	TF_cofactors
A6H8Y1	BDP1_HUMAN	reviewed	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624	TF_cofactors
P20290	BTF3_HUMAN	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	BTF3 NACB OK/SW-cl.8	Homo sapiens (Human)	206	TF_cofactors
Q9ULW3	ABT1_HUMAN	reviewed	Activator of basal transcription 1 (hABT1) (Basal transcriptional activator)	ABT1	Homo sapiens (Human)	272	TF_cofactors
Q12796	PNRC1_HUMAN	reviewed	Proline-rich nuclear receptor coactivator 1 (Proline-rich protein 2) (Protein B4-2)	PNRC1 PROL2	Homo sapiens (Human)	327	TF_cofactors
Q15233	NONO_HUMAN	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	NONO NRB54	Homo sapiens (Human)	471	TF_cofactors
Q86UE4	LYRIC_HUMAN	reviewed	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	582	TF_cofactors
Q9GZR2	REXO4_HUMAN	reviewed	RNA exonuclease 4 (EC 3.1.-.-) (Exonuclease XPMC2) (Prevents mitotic catastrophe 2 protein homolog) (hPMC2)	REXO4 PMC2 XPMC2H	Homo sapiens (Human)	422	TF_cofactors
Q96F24	NRBF2_HUMAN	reviewed	Nuclear receptor-binding factor 2 (NRBF-2) (Comodulator of PPAR and RXR)	NRBF2 COPR	Homo sapiens (Human)	287	TF_cofactors
Q15327	ANKR1_HUMAN	reviewed	Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)	ANKRD1 C193 CARP HA1A2	Homo sapiens (Human)	319	TF_cofactors
Q5VV67	PPRC1_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)	PPRC1 KIAA0595	Homo sapiens (Human)	1664	TF_cofactors
Q14207	NPAT_HUMAN	reviewed	Protein NPAT (Nuclear protein of the ataxia telangiectasia mutated locus) (Nuclear protein of the ATM locus) (p220)	NPAT CAND3 E14	Homo sapiens (Human)	1427	TF_cofactors
Q96BN2	TADA1_HUMAN	reviewed	Transcriptional adapter 1 (SPT3-associated factor 42) (STAF42) (Transcriptional adapter 1-like protein)	TADA1 TADA1L	Homo sapiens (Human)	335	TF_cofactors
Q8N9B5	JMY_HUMAN	reviewed	Junction-mediating and -regulatory protein	JMY	Homo sapiens (Human)	988	TF_cofactors
Q13503	MED21_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNA polymerase II holoenzyme component SRB7) (RNAPII complex component SRB7) (hSrb7)	MED21 SRB7 SURB7	Homo sapiens (Human)	144	TF_cofactors
Q9UK53	ING1_HUMAN	reviewed	Inhibitor of growth protein 1	ING1	Homo sapiens (Human)	422	TF_cofactors
Q86VZ6	JAZF1_HUMAN	reviewed	Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802)	JAZF1 TIP27 ZNF802	Homo sapiens (Human)	243	TF_cofactors
P56704	WNT3A_HUMAN	reviewed	Protein Wnt-3a	WNT3A	Homo sapiens (Human)	352	TF_cofactors
Q96F44	TRI11_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Protein BIA1) (RING finger protein 92) (RING-type E3 ubiquitin transferase TRIM11) (Tripartite motif-containing protein 11)	TRIM11 RNF92	Homo sapiens (Human)	468	TF_cofactors
Q96T76	MMS19_HUMAN	reviewed	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	MMS19 MMS19L	Homo sapiens (Human)	1030	TF_cofactors
Q86YN6	PRGC2_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator)	PPARGC1B PERC PGC1 PGC1B PPARGC1	Homo sapiens (Human)	1023	TF_cofactors
O43513	MED7_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	MED7 ARC34 CRSP9	Homo sapiens (Human)	233	TF_cofactors
Q9Y3R0	GRIP1_HUMAN	reviewed	Glutamate receptor-interacting protein 1 (GRIP-1)	GRIP1	Homo sapiens (Human)	1128	TF_cofactors
Q9Y5T5	UBP16_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-processing protease UBP-M) (Ubiquitin-specific-processing protease 16)	USP16 MSTP039	Homo sapiens (Human)	823	TF_cofactors
Q9BYE7	PCGF6_HUMAN	reviewed	Polycomb group RING finger protein 6 (Mel18 and Bmi1-like RING finger) (RING finger protein 134)	PCGF6 MBLR RNF134	Homo sapiens (Human)	350	TF_cofactors
P55201	BRPF1_HUMAN	reviewed	Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140)	BRPF1 BR140	Homo sapiens (Human)	1214	TF_cofactors
Q93062	RBPMS_HUMAN	reviewed	RNA-binding protein with multiple splicing (RBP-MS) (Heart and RRM expressed sequence) (Hermes)	RBPMS HERMES	Homo sapiens (Human)	196	TF_cofactors
Q9BWW4	SSBP3_HUMAN	reviewed	Single-stranded DNA-binding protein 3 (Sequence-specific single-stranded-DNA-binding protein)	SSBP3 SSDP SSDP1	Homo sapiens (Human)	388	TF_cofactors
Q6ZNA4	RN111_HUMAN	reviewed	E3 ubiquitin-protein ligase Arkadia (EC 2.3.2.27) (RING finger protein 111) (hRNF111) (RING-type E3 ubiquitin transferase Arkadia)	RNF111	Homo sapiens (Human)	994	TF_cofactors
P12755	SKI_HUMAN	reviewed	Ski oncogene (Proto-oncogene c-Ski)	SKI	Homo sapiens (Human)	728	TF_cofactors
